Entity,Year,Cumulative COâ‚‚ emissions
World,1850,4769853000
World,1851,4968631300
World,1852,5176226300
World,1853,5393463300
World,1854,5648502000
World,1855,5908761600
World,1856,6187007500
World,1857,6468188000
World,1858,6753736700
World,1859,7056309000
World,1860,7388607500
World,1861,7737797600
World,1862,8093788700
World,1863,8473323500
World,1864,8882849000
World,1865,9317701000
World,1866,9766768000
World,1867,10247582000
World,1868,10742074000
World,1869,11266806000
World,1870,11802929000
World,1871,12372705000
World,1872,13003667000
World,1873,13674135000
World,1874,14302797000
World,1875,14983845000
World,1876,15674427000
World,1877,16378460000
World,1878,17088110000
World,1879,17847904000
World,1880,18705959000
World,1881,19593925000
World,1882,20531812000
World,1883,21529328000
World,1884,22538758000
World,1885,23555901000
World,1886,24588515000
World,1887,25672243000
World,1888,26873045000
World,1889,28074562000
World,1890,29381153000
World,1891,30750069000
World,1892,32129876000
World,1893,33492392000
World,1894,34903925000
World,1895,36399165000
World,1896,37943824000
World,1897,39561320000
World,1898,41267278000
World,1899,43130413000
World,1900,45091906000
World,1901,47115870000
World,1902,49190670000
World,1903,51452715000
World,1904,53740225000
World,1905,56177287000
World,1906,58721770000
World,1907,61622096000
World,1908,64407780000
World,1909,67308950000
World,1910,70352270000
World,1911,73442380000
World,1912,76688850000
World,1913,80205380000
World,1914,83395174000
World,1915,86535450000
World,1916,89927420000
World,1917,93475560000
World,1918,96975250000
World,1919,100009080000
World,1920,103546920000
World,1921,106653110000
World,1922,109907570000
World,1923,113598270000
World,1924,117301040000
World,1925,121041674000
World,1926,124719090000
World,1927,128732030000
World,1928,132728340000
World,1929,137016560000
World,1930,140974650000
World,1931,144513970000
World,1932,147706560000
World,1933,151069250000
World,1934,154725430000
World,1935,158561170000
World,1936,162769110000
World,1937,167265830000
World,1938,171495440000
World,1939,175965570000
World,1940,180850250000
World,1941,185849330000
World,1942,190831850000
World,1943,195907130000
World,1944,201069610000
World,1945,205358920000
World,1946,209967480000
World,1947,215132680000
World,1948,220580560000
World,1949,225784600000
World,1950,231714850000
World,1951,238096270000
World,1952,244563740000
World,1953,251214610000
World,1954,258004140000
World,1955,265448050000
World,1956,273374050000
World,1957,281559700000
World,1958,289976880000
World,1959,298831580000
World,1960,308218600000
World,1961,317633630000
World,1962,327380930000
World,1963,337647700000
World,1964,348472150000
World,1965,359782740000
World,1966,371645400000
World,1967,383882760000
World,1968,396788040000
World,1969,410549850000
World,1970,425448960000
World,1971,440952800000
World,1972,457177430000
World,1973,474262500000
World,1974,491273600000
World,1975,508326350000
World,1976,526315450000
World,1977,544814070000
World,1978,563883340000
World,1979,583492400000
World,1980,602980940000
World,1981,622003800000
World,1982,640874900000
World,1983,659866850000
World,1984,679514600000
World,1985,699826500000
World,1986,720441500000
World,1987,741691560000
World,1988,763776700000
World,1989,786163400000
World,1990,808892300000
World,1991,832078400000
World,1992,854606600000
World,1993,877362400000
World,1994,900355300000
World,1995,923887400000
World,1996,948145600000
World,1997,972547500000
World,1998,996851250000
World,1999,1021705000000
World,2000,1047215540000
World,2001,1072921840000
World,2002,1099198700000
World,2003,1126868200000
World,2004,1155500700000
World,2005,1185115100000
World,2006,1215743500000
World,2007,1247278100000
World,2008,1279352400000
World,2009,1310894300000
World,2010,1344250200000
World,2011,1378754800000
World,2012,1413754800000
World,2013,1449056400000
World,2014,1484506500000
World,2015,1519911400000
World,2016,1555328000000
World,2017,1591317900000
World,2018,1628048300000
World,2019,1665152600000
World,2020,1700279200000
World,2021,1737270900000
World,2022,1774564700000
World,2023,1812356300000